ncbi_taxon_id	relative_abundance	scientific_name
133925	0.00126757	Olsenella
359407	0.000211261	Methylotenera
658061	0.000211261	Candidatus_Koribacter
278993	0.000211261	Thermincola
2005359	0.0038027	Unknown
118747	0.000211261	Bulleidia
28138	0.00274639	Rikenella
286	0.00126757	Pseudomonas
100175	0.00338018	Papillibacter
201096	0.000211261	Alicycliphilus
660628	0.000211261	Insolitispirillum
70994	0.000211261	Lewinella
543311	0.000211261	Parvimonas
173479	0.00147883	Gemmatimonas
400634	0.000422522	Lysinibacillus
29330	0.000211261	Alicyclobacillus
44249	0.00739414	Paenibacillus
590	0.0139432	Salmonella
88138	0.000211261	Modestobacter
156454	0.00316892	Anaeroglobus
61170	0.0038027	Holdemania
1663	0.00971801	Arthrobacter
1350	0.00105631	Enterococcus
81466	0.000422522	Aminobacterium
46352	0.000422522	Agrococcus
93217	0.000422522	Pandoraea
209	0.000633783	Helicobacter
588605	0.0076054	Robinsoniella
544	0.000422522	Citrobacter
866673	0.00633783	Marinifilum
-1	30.313	Unknown
1678	5.34258	Bifidobacterium
872	0.013732	Desulfovibrio
1081	0.000211261	Rhodospirillum
1578	0.00169009	Lactobacillus
2132	0.000211261	Spiroplasma
1883	0.000422522	Streptomyces
662	0.000211261	Vibrio
28050	0.00464774	Lachnospira
1485	3.13279	Clostridium
715222	0.000633783	Caldicoprobacter
32008	0.000633783	Burkholderia
1279388	0.00147883	Kandleria
29465	0.018591	Veillonella
642	0.000211261	Aeromonas
1344552	0.000211261	Noviherbaspirillum
577310	0.175558	Parasutterella
40544	9.56083	Sutterella
816	14.5489	Bacteroides
561	0.0304216	Escherichia
467975	0.000633783	Iamia
294702	0.0236612	Proteiniphilum
1769729	0.000211261	Hathewaya
114627	0.000422522	Alkaliphilus
1263	0.191403	Ruminococcus
906	0.00105631	Megasphaera
264995	0.000845044	Anaerofustis
1569	0.000211261	Sporosarcina
48075	0.000211261	Marinobacterium
475	0.000211261	Moraxella
1301	0.162882	Streptococcus
361177	0.000211261	Altererythrobacter
447020	0.0504914	Adlercreutzia
1164882	0.000422522	Lachnoanaerobaculum
65047	0.000211261	Mitsuaria
1236988	0.000211261	Geofilum
295418	0.000422522	Rubellimicrobium
244127	0.107954	Anaerotruncus
2697	0.000422522	Heliobacterium
1508657	0.509562	Ruminiclostridium
572511	1.38165	Blautia
776	0.000211261	Coxiella
28453	0.000211261	Sphingobacterium
375928	0.000211261	Natranaerobius
1485594	0.000633783	Methyloligella
2717	0.000211261	Cardiobacterium
38501	0.000211261	Blastococcus
52784	0.00929549	Anaerofilum
41275	0.000422522	Brevundimonas
986106	0.00507027	Acidiferrobacter
373053	0.000211261	Calditerricola
1813	0.000633783	Amycolatopsis
2039240	0.00316892	Unknown
33986	0.000422522	Exiguobacterium
1505663	0.630614	Erysipelatoclostridium
102106	5.03562	Collinsella
239934	0.244007	Akkermansia
698776	0.00676035	Cellulosilyticum
650341	0.000211261	Leeia
262406	0.000211261	Thermobaculum
958	0.000845044	Bdellovibrio
2740	0.000211261	Peptococcus
1716	0.00464774	Corynebacterium
1730	0.378157	Eubacterium
970	0.000422522	Selenomonas
1822464	0.000211261	Paraburkholderia
195950	0.00105631	Tannerella
644652	0.0308441	Gordonibacter
1839	0.000422522	Nocardioides
267986	0.000211261	Owenweeksia
1912215	0.000211261	Unknown
1408818	0.000422522	Youngiibacter
12916	0.000633783	Acidovorax
33057	0.000211261	Thauera
1637257	0.000211261	Mageeibacillus
376488	0.000211261	Halotalea
1279	0.000211261	Staphylococcus
448125	0.000211261	Dethiosulfatibacter
1843210	0.000211261	Anaerocolumna
46205	0.000211261	Pseudobutyrivibrio
222	0.000211261	Achromobacter
661182	0.000211261	Perlucidibaca
1851	0.000422522	Saccharomonospora
459786	1.10004	Oscillibacter
156973	0.00422522	Dysgonomonas
84108	0.234922	Slackia
1386	0.147671	Bacillus
1506577	0.000211261	Tyzzerella
80865	0.00232387	Delftia
626	0.000211261	Xenorhabdus
44748	0.0686598	Sporobacter
100883	0.00274639	Coprobacillus
216851	16.7414	Faecalibacterium
1380	0.0414072	Atopobium
33882	0.000211261	Microbacterium
404	0.000211261	Methylobacillus
361607	0.000211261	Patulibacter
213485	0.000211261	Micavibrio
314318	0.000211261	Prolixibacter
1573535	0.00126757	Holdemanella
203697	0.000211261	Derxia
207599	0.000211261	Solirubrobacter
375288	2.11346	Parabacteroides
32207	0.00105631	Rothia
724	0.00147883	Haemophilus
186650	0.000422522	Microvirga
1743	0.0207036	Propionibacterium
1357	0.00105631	Lactococcus
20	0.000633783	Phenylobacterium
1742989	0.000211261	Glutamicibacter
44260	0.000211261	Moorella
189330	0.0842932	Dorea
41707	0.000211261	Lawsonia
44000	0.000845044	Caldicellulosiruptor
71655	0.000422522	Brenneria
648800	0.000211261	Solibacillus
1505657	0.137953	Intestinibacter
1562	0.000211261	Desulfotomaculum
2040476	0.000422522	Unknown
469	0.000211261	Acinetobacter
253255	0.000211261	Soehngenia
233189	0.000633783	Anaerolinea
620	0.024295	Shigella
1184396	0.000211261	Mesotoga
1648511	0.000422522	Cnuella
830	0.00654909	Butyrivibrio
57494	0.000422522	Nesterenkonia
346096	0.014577	Paludibacter
577309	0.00274639	Paraprevotella
1142	0.000211261	Synechocystis
39948	0.396748	Dialister
233191	0.000845044	Caldilinea
248744	0.000422522	Marvinbryantia
41273	0.000422522	Tissierella
1649452	0.000211261	Geothermomicrobium
1257	0.000211261	Peptostreptococcus
236052	0.000211261	Propionicimonas
1912217	0.000633783	Unknown
1654	0.0333792	Actinomyces
117563	0.00169009	Granulicatella
445	0.000211261	Legionella
1506553	0.597235	Lachnoclostridium
283168	0.138165	Odoribacter
