ncbi_taxon_id	relative_abundance	scientific_name
55080	0.0017306	Brevibacillus
113286	0.000648976	Pseudoramibacter
44000	0.000865301	Caldicellulosiruptor
189330	0.181929	Dorea
41707	0.00151428	Lawsonia
704093	0.000216325	Anaerobacillus
44260	0.0017306	Moorella
56112	0.00194693	Dehalobacter
150247	0.00043265	Anoxybacillus
31983	0.00043265	Helcococcus
233189	0.00302855	Anaerolinea
620	0.0110326	Shigella
29404	0.000216325	Microlunatus
2040476	0.00043265	Unknown
1505657	0.190799	Intestinibacter
1562	0.00302855	Desulfotomaculum
48463	0.000216325	Prosthecobacter
94008	0.000865301	Thermicanus
577309	0.00951831	Paraprevotella
2282742	0.00043265	Unknown
1849822	0.00216325	Paraclostridium
346096	0.00216325	Paludibacter
830	0.00151428	Butyrivibrio
57494	0.00129795	Nesterenkonia
165779	0.000648976	Anaerococcus
40323	0.000216325	Stenotrophomonas
233191	0.00043265	Caldilinea
39948	0.112705	Dialister
78119	0.000216325	Succinispira
150333	0.00043265	Thermobrachium
76831	0.00043265	Myroides
83660	0.000216325	Desulfonispora
46205	0.00411018	Pseudobutyrivibrio
795750	0.000216325	Ignavibacterium
84108	0.0218488	Slackia
352450	0.00043265	Simplicispira
1386	2.97577	Bacillus
293136	0.00043265	Desulfitibacter
643949	0.000216325	Ferrithrix
156973	0.00129795	Dysgonomonas
1522429	0.000216325	Lihuaxuella
459786	4.9863	Oscillibacter
1380	0.00302855	Atopobium
638847	0.051918	Pyramidobacter
216851	2.55696	Faecalibacterium
44748	1.24322	Sporobacter
100883	0.0125469	Coprobacillus
1506577	0.155321	Tyzzerella
80865	0.00194693	Delftia
1357	0.000216325	Lactococcus
1742989	0.000216325	Glutamicibacter
724	0.00605711	Haemophilus
375288	2.76745	Parabacteroides
186650	0.00043265	Microvirga
2086	0.000216325	Anaeroplasma
1573535	0.000865301	Holdemanella
227873	0.000648976	Pannonibacter
84162	0.000216325	Cryptobacterium
1548510	0.045212	Microbacter
207244	0.0190366	Anaerostipes
832	0.000216325	Fibrobacter
838	0.245313	Prevotella
836	0.00411018	Porphyromonas
1486726	0.00151428	Pseudobacteroides
79206	0.0043265	Desulfosporosinus
553372	0.0034612	Asaccharobacter
511745	0.000216325	Methylacidiphilum
184869	0.00043265	Varibaculum
841	0.223248	Roseburia
1017280	0.00411018	Pseudoflavonifractor
166484	0.000648976	Caminicella
69578	0.000216325	Cryobacterium
49082	0.00151428	Candidatus_Arthromitus
150022	0.00151428	Finegoldia
1505660	0.000216325	Asaccharospora
35832	0.204644	Bilophila
397864	0.194693	Barnesiella
1707	0.00194693	Cellulomonas
1200657	0.00194693	Saccharofermentans
239759	3.87741	Alistipes
33042	0.705869	Coprococcus
2048137	0.0149264	Unknown
1817	0.0025959	Nocardia
253238	0.00194693	Ethanoligenens
270497	0.0305019	Catabacter
990721	1.66527	Christensenella
2057233	0.000216325	Unknown
2147	0.00043265	Acholeplasma
41273	0.000216325	Tissierella
248744	0.00108163	Marvinbryantia
13075	0.00043265	Globicatella
55506	0.000216325	Schwartzia
283168	1.01976	Odoribacter
1434010	0.000216325	Jatrophihabitans
363276	0.000216325	Ktedonobacter
117563	0.00194693	Granulicatella
1506553	1.06519	Lachnoclostridium
1654	0.0170897	Actinomyces
1653174	0.000648976	Actinotignum
79328	0.000648976	Chitinophaga
162289	0.00237958	Peptoniphilus
1344362	0.000216325	Rehaibacterium
196081	0.000216325	Scardovia
1378	0.00043265	Gemella
1618113	0.0603547	Saccharicrinis
1505652	0.0181713	Terrisporobacter
504481	0.00843668	Sediminibacterium
28196	0.000216325	Arcobacter
84111	0.483487	Eggerthella
1578	0.00302855	Lactobacillus
1883	0.000648976	Streptomyces
872	0.179117	Desulfovibrio
1865	0.000216325	Actinoplanes
-1	22.8857	Unknown
1678	3.98839	Bifidobacterium
46352	0.0017306	Agrococcus
86331	0.00129795	Mogibacterium
420345	0.00324488	Lactonifactor
588605	0.0136285	Robinsoniella
715222	0.0482405	Caldicoprobacter
1279388	0.00713873	Kandleria
1485	0.94361	Clostridium
28050	0.00108163	Lachnospira
59732	0.00043265	Chryseobacterium
1911556	0.000216325	Unknown
